time_bin,avg_turns,session_count,frac_ge2,frac_ge3
3020400,1.0921717171717171,1584,0.041666666666666664,0.006944444444444444
3024000,1.0310650887573964,2028,0.021696252465483234,0.0019723865877712033
3027600,1.0176954732510288,2430,0.012345679012345678,0.0008230452674897119
3031200,1.0622775800711743,562,0.0071174377224199285,0.0017793594306049821
3034800,1.2521739130434784,345,0.005797101449275362,0.002898550724637681
3052800,1.041025641025641,585,0.017094017094017096,0.0017094017094017094
3056400,1.101139601139601,1404,0.06054131054131054,0.005698005698005698
3060000,2.197530864197531,243,0.0823045267489712,0.024691358024691357
3063600,1.0192568483862219,11061,0.01862399421390471,0.0006328541723171503
3067200,1.090871878837495,2443,0.02783462955382726,0.002046663937781416
3070800,1.085,200,0.07,0.01
3074400,1.0597514340344167,4184,0.05736137667304015,0.002390057361376673
3078000,1.3611111111111112,1260,0.07857142857142857,0.010317460317460317
3081600,16.0,3,0.6666666666666666,0.6666666666666666
3085200,1.160217983651226,1835,0.05722070844686648,0.009264305177111716
3088800,1.35929203539823,565,0.0743362831858407,0.007079646017699115
3092400,1.1398891966759004,722,0.060941828254847646,0.004155124653739612
3096000,1.4637931034482758,580,0.04827586206896552,0.013793103448275862
3099600,1.6158357771260996,341,0.04398826979472141,0.008797653958944282
3103200,1.043351548269581,2745,0.01092896174863388,0.003278688524590164
3106800,2.0,195,0.18461538461538463,0.06666666666666667
3110400,1.5770750988142292,253,0.05533596837944664,0.02766798418972332
3117600,1.355,200,0.015,0.01
3135600,2.9306930693069306,101,0.019801980198019802,0.019801980198019802
3142800,1.675,40,0.3,0.125
3146400,2.2421052631578946,190,0.13157894736842105,0.06315789473684211
3150000,1.7243589743589745,312,0.0673076923076923,0.04487179487179487
3153600,1.0237375264590263,6614,0.014363471424251588,0.0012095554883580285
3157200,1.2556521739130435,575,0.04,0.010434782608695653
3160800,1.4231311706629055,709,0.0846262341325811,0.023977433004231313
3164400,19.0,16,0.875,0.875
3168000,52.6,5,1.0,0.8
3171600,4.715686274509804,102,0.029411764705882353,0.0196078431372549
3178800,4.3478260869565215,69,0.5797101449275363,0.34782608695652173
3182400,1.6131868131868132,455,0.2043956043956044,0.06373626373626373
3186000,1.272,1000,0.127,0.02
3189600,129.0,3,0.6666666666666666,0.6666666666666666
3218400,26.0,1,1.0,1.0
3225600,140.0,1,1.0,1.0
3229200,7.375,8,0.625,0.375
3232800,75.6,5,0.4,0.4
3243600,1.76036866359447,217,0.07834101382488479,0.027649769585253458
3247200,2.1768595041322314,605,0.05454545454545454,0.006611570247933884
3261600,1.0617886178861788,1230,0.05121951219512195,0.0032520325203252032
3265200,1.220825852782765,557,0.04847396768402154,0.003590664272890485
3268800,6.7368421052631575,19,0.15789473684210525,0.05263157894736842
3272400,1.325,360,0.022222222222222223,0.011111111111111112
3276000,7.55,20,0.05,0.05
3279600,1.81496062992126,254,0.07480314960629922,0.01968503937007874
3301200,7.0,1,1.0,1.0
3308400,14.0,1,1.0,1.0
3315600,94.0,1,1.0,1.0
3319200,3.823529411764706,102,0.0392156862745098,0.029411764705882353
3337200,1.3341645885286784,401,0.05486284289276808,0.017456359102244388
3340800,441.0,1,1.0,1.0
3351600,85.0,1,1.0,1.0
3355200,137.0,2,1.0,1.0
3366000,13.5,8,0.5,0.125
3369600,57.0,1,1.0,1.0
3376800,26.5,2,1.0,1.0
3384000,3.0,1,1.0,1.0
3391200,1.0,1,0.0,0.0
3398400,90.0,1,1.0,1.0
3405600,4.0,4,0.75,0.75
3409200,59.0,2,0.5,0.5
3412800,191.0,1,1.0,1.0
3423600,18.0,8,0.625,0.375
3427200,6.625,32,0.78125,0.625
3430800,10.148148148148149,27,0.5185185185185185,0.37037037037037035
3434400,6.0,3,0.3333333333333333,0.3333333333333333
3438000,137.14285714285714,7,0.5714285714285714,0.42857142857142855
3474000,5.0,1,1.0,1.0
3477600,120.0,1,1.0,1.0
3488400,42.0,1,1.0,1.0
3492000,9.214285714285714,28,0.6428571428571429,0.5
3495600,19.4,10,0.2,0.2
3499200,1.7433628318584071,113,0.13274336283185842,0.08849557522123894
3502800,1.2339252908756888,1633,0.06674831598285365,0.004898958971218616
3510000,1.1978171896316507,1466,0.1684856753069577,0.02455661664392906
3513600,1.175417661097852,1676,0.15274463007159905,0.019689737470167064
3517200,1.1838500360490267,1387,0.14635904830569574,0.01514059120403749
3520800,1.1093959731543623,1490,0.050335570469798654,0.003355704697986577
3524400,1.0364208633093526,4448,0.03529676258992806,0.0011241007194244604
3528000,1.1039870689655173,1856,0.09913793103448276,0.004849137931034483
3531600,1.0967523680649527,1478,0.07104194857916103,0.0040595399188092015
3535200,1.0536031238906638,2817,0.050763223287184946,0.0028399006034788782
3538800,1.0709561034275406,1663,0.04690318701142514,0.0036079374624173183
3542400,1.089655172413793,870,0.04597701149425287,0.0011494252873563218
3546000,1.0278810408921932,1614,0.017967781908302356,0.0037174721189591076
3549600,1.0014113219382155,6377,0.0014113219382154618,0.0
3553200,1.0098199672667758,3055,0.0009819967266775777,0.0003273322422258593
3571200,119.0,1,1.0,1.0
3574800,1.3447098976109215,293,0.08873720136518772,0.017064846416382253
3578400,1.1440349175557711,2062,0.11057225994180407,0.013579049466537343
3582000,1.0279567940455658,11017,0.027139874739039668,0.0007261504946900245
3585600,1.0253040408003138,5098,0.024911730090231465,0.00039231071008238524
3589200,1.0756501182033098,1692,0.03723404255319149,0.002955082742316785
3592800,1.0698254364089776,2807,0.028143925899536872,0.0014250089063056644
3596400,1.7597173144876326,283,0.2332155477031802,0.05653710247349823
3600000,1.0909712722298222,2924,0.05950752393980848,0.006155950752393981
3603600,3.099099099099099,222,0.1981981981981982,0.08108108108108109
3610800,2.375,80,0.075,0.05
3614400,1.6125,320,0.04375,0.0125
3618000,1.0436824800375764,2129,0.023015500234852042,0.0032879286049788633
3621600,1.0460460460460461,2997,0.03203203203203203,0.001334668001334668
3625200,1.111304347826087,575,0.07304347826086957,0.010434782608695653
3628800,1.15995115995116,819,0.054945054945054944,0.003663003663003663
3632400,1.0086580086580086,2079,0.006253006253006253,0.000962000962000962
3636000,1.0163300386764074,2327,0.0017189514396218307,0.0004297378599054577
3654000,12.0,1,1.0,1.0
3657600,318.0,1,1.0,1.0
3664800,1.275,600,0.075,0.011666666666666667
3668400,1.0970272502064409,2422,0.05573905862923204,0.002890173410404624
3672000,1.0317416505658294,3623,0.02566933480540988,0.0019321004692243997
3675600,1.0236945366737096,6626,0.022638092363416844,0.0009055236945366737
3679200,1.0799764775066156,3401,0.07438988532784475,0.00558659217877095
3682800,1.1264973646382368,2087,0.08864398658361285,0.01629132726401533
3686400,1.1712328767123288,1752,0.09417808219178082,0.010844748858447488
3690000,1.0802579720530276,2791,0.07595843783590112,0.004299534217126478
3693600,1.0621833256563795,2171,0.0589590050667895,0.0032243205895900505
3697200,1.4539170506912442,434,0.055299539170506916,0.013824884792626729
3700800,1.1455078125,1024,0.1015625,0.0126953125
3704400,1.1043663471778489,1878,0.09371671991480299,0.009584664536741214
3708000,1.058404980729321,3373,0.056922620812333236,0.0011858879335902757
3711600,1.1133368476541907,1897,0.1043753294675804,0.00790722192936215
3715200,1.070364238410596,1208,0.05380794701986755,0.004966887417218543
3718800,1.3966666666666667,300,0.03333333333333333,0.0033333333333333335
3736800,55.0,1,1.0,1.0
3747600,1.763157894736842,152,0.07236842105263158,0.02631578947368421
3751200,1.0357313766150902,6269,0.03429574094751954,0.001276120593396076
